build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,split_mode,main_gpu,no_kv_offload,flash_attn,tensor_split,tensor_buft_overrides,defrag_thold,use_mmap,embeddings,no_op_offload,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
"4c32832c","5473","Accelerate, Apple M2 Ultra","Apple M2 Ultra","Metal,BLAS","./llms/Devstral-Small-2505-Q6_K.gguf","llama 13B Q6_K","19338055680","23572403200","2048","512","16","0x0","0","50","q8_0","q4_0","99","layer","0","0","1","0.00","none","-1.000000","1","0","0","0","128","30000","2025-05-24T19:07:05Z","51096524146","316131855","2.505111","0.015499"
"4c32832c","5473","Accelerate, Apple M2 Ultra","Apple M2 Ultra","Metal,BLAS","./llms/Devstral-Small-2505-Q6_K.gguf","llama 13B Q6_K","19338055680","23572403200","2048","512","16","0x0","0","50","q4_0","q8_0","99","layer","0","0","1","0.00","none","-1.000000","1","0","0","0","128","0","2025-05-24T21:09:18Z","7804858146","209186845","16.405934","0.439714"
"4c32832c","5473","Accelerate, Apple M2 Ultra","Apple M2 Ultra","Metal,BLAS","./llms/Devstral-Small-2505-Q6_K.gguf","llama 13B Q6_K","19338055680","23572403200","2048","512","16","0x0","0","50","q4_0","q8_0","99","layer","0","0","1","0.00","none","-1.000000","1","0","0","0","128","5000","2025-05-24T21:09:33Z","17546359228","324558796","7.296209","0.134960"
"4c32832c","5473","Accelerate, Apple M2 Ultra","Apple M2 Ultra","Metal,BLAS","./llms/Devstral-Small-2505-Q6_K.gguf","llama 13B Q6_K","19338055680","23572403200","2048","512","16","0x0","0","50","q4_0","q8_0","99","layer","0","0","1","0.00","none","-1.000000","1","0","0","0","128","10000","2025-05-24T21:12:19Z","25686259291","88137380","4.983238","0.017099"
"4c32832c","5473","Accelerate, Apple M2 Ultra","Apple M2 Ultra","Metal,BLAS","./llms/Devstral-Small-2505-Q6_K.gguf","llama 13B Q6_K","19338055680","23572403200","2048","512","16","0x0","0","50","q4_0","q8_0","99","layer","0","0","1","0.00","none","-1.000000","1","0","0","0","128","15000","2025-05-24T21:21:08Z","33718220375","459860354","3.796520","0.051778"
"4c32832c","5473","Accelerate, Apple M2 Ultra","Apple M2 Ultra","Metal,BLAS","./llms/Devstral-Small-2505-Q6_K.gguf","llama 13B Q6_K","19338055680","23572403200","2048","512","16","0x0","0","50","q4_0","q8_0","99","layer","0","0","1","0.00","none","-1.000000","1","0","0","0","128","20000","2025-05-24T21:41:42Z","38982983791","80827431","3.283491","0.006808"
"4c32832c","5473","Accelerate, Apple M2 Ultra","Apple M2 Ultra","Metal,BLAS","./llms/Devstral-Small-2505-Q6_K.gguf","llama 13B Q6_K","19338055680","23572403200","2048","512","16","0x0","0","50","q4_0","q8_0","99","layer","0","0","1","0.00","none","-1.000000","1","0","0","0","128","25000","2025-05-24T22:23:19Z","46713411958","555748065","2.740306","0.032601"
"4c32832c","5473","Accelerate, Apple M2 Ultra","Apple M2 Ultra","Metal,BLAS","./llms/Devstral-Small-2505-Q6_K.gguf","llama 13B Q6_K","19338055680","23572403200","2048","512","16","0x0","0","50","q4_0","q8_0","99","layer","0","0","1","0.00","none","-1.000000","1","0","0","0","128","30000","2025-05-24T23:34:48Z","54310363729","420403423","2.356895","0.018244"
"4c32832c","5473","Accelerate, Apple M2 Ultra","Apple M2 Ultra","Metal,BLAS","./llms/Devstral-Small-2505-Q6_K.gguf","llama 13B Q6_K","19338055680","23572403200","2048","512","16","0x0","0","50","q4_0","q4_0","99","layer","0","0","1","0.00","none","-1.000000","1","0","0","0","128","0","2025-05-25T01:28:11Z","4376765854","2087468","29.245342","0.013948"
"4c32832c","5473","Accelerate, Apple M2 Ultra","Apple M2 Ultra","Metal,BLAS","./llms/Devstral-Small-2505-Q6_K.gguf","llama 13B Q6_K","19338055680","23572403200","2048","512","16","0x0","0","50","q4_0","q4_0","99","layer","0","0","1","0.00","none","-1.000000","1","0","0","0","128","5000","2025-05-25T01:28:20Z","4765659395","104209","26.858823","0.000205"
"4c32832c","5473","Accelerate, Apple M2 Ultra","Apple M2 Ultra","Metal,BLAS","./llms/Devstral-Small-2505-Q6_K.gguf","llama 13B Q6_K","19338055680","23572403200","2048","512","16","0x0","0","50","q4_0","q4_0","99","layer","0","0","1","0.00","none","-1.000000","1","0","0","0","128","10000","2025-05-25T01:29:00Z","5172931688","1034290","24.744190","0.004947"
"4c32832c","5473","Accelerate, Apple M2 Ultra","Apple M2 Ultra","Metal,BLAS","./llms/Devstral-Small-2505-Q6_K.gguf","llama 13B Q6_K","19338055680","23572403200","2048","512","16","0x0","0","50","q4_0","q4_0","99","layer","0","0","1","0.00","none","-1.000000","1","0","0","0","128","15000","2025-05-25T01:30:18Z","5571923312","5368537","22.972330","0.022130"
"4c32832c","5473","Accelerate, Apple M2 Ultra","Apple M2 Ultra","Metal,BLAS","./llms/Devstral-Small-2505-Q6_K.gguf","llama 13B Q6_K","19338055680","23572403200","2048","512","16","0x0","0","50","q4_0","q4_0","99","layer","0","0","1","0.00","none","-1.000000","1","0","0","0","128","20000","2025-05-25T01:32:22Z","5987634999","353029","21.377389","0.001198"
"4c32832c","5473","Accelerate, Apple M2 Ultra","Apple M2 Ultra","Metal,BLAS","./llms/Devstral-Small-2505-Q6_K.gguf","llama 13B Q6_K","19338055680","23572403200","2048","512","16","0x0","0","50","q4_0","q4_0","99","layer","0","0","1","0.00","none","-1.000000","1","0","0","0","128","25000","2025-05-25T01:35:19Z","6417409062","5497892","19.945752","0.017084"
"4c32832c","5473","Accelerate, Apple M2 Ultra","Apple M2 Ultra","Metal,BLAS","./llms/Devstral-Small-2505-Q6_K.gguf","llama 13B Q6_K","19338055680","23572403200","2048","512","16","0x0","0","50","q4_0","q4_0","99","layer","0","0","1","0.00","none","-1.000000","1","0","0","0","128","30000","2025-05-25T01:39:15Z","6834118208","2554977","18.729557","0.006995"
